qseqid,sseqid,evalue,pident,length,bitscore,ppos
b0413,MBLCLPDI_01379,4.54e-42,44.443999999999996,144,133.0,67.36
b0414,MBLCLPDI_00964,7.37e-59,33.043,345,190.0,52.75
b0415,MBLCLPDI_00967,7.95e-35,39.437,142,115.0,62.68
b0420,MBLCLPDI_01045,1.4999999999999996e-99,32.486999999999995,591,311.0,52.45
b0421,MBLCLPDI_01313,1.2299999999999999e-60,43.446000000000005,267,191.0,60.67
b0423,MBLCLPDI_00553,1.8599999999999997e-30,29.758000000000003,289,118.0,53.63
b0436,MBLCLPDI_00734,1.7099999999999997e-64,34.211,380,209.0,52.89
b0437,MBLCLPDI_00422,1.2299999999999998e-91,62.371,194,263.0,82.99
b0438,MBLCLPDI_00735,1.0399999999999995e-178,62.5,400,501.0,78.75
b0440,MBLCLPDI_00853,7.459999999999999e-31,53.409,88,100.0,75.0
b0448,MBLCLPDI_00558,7.809999999999998e-37,33.036,224,140.0,56.7
b0451,MBLCLPDI_01562,8.3e-71,39.701,335,224.0,60.0
b0459,MBLCLPDI_00533,2.7699999999999996e-68,54.348,184,202.0,70.11
b0470,MBLCLPDI_00355,1.9499999999999996e-78,39.934,303,257.0,61.39
b0472,MBLCLPDI_00357,3.76e-42,36.649,191,137.0,60.73
b0474,MBLCLPDI_01614,4e-56,42.202,218,174.0,64.22
b0475,MBLCLPDI_01712,2.6799999999999996e-78,41.083,314,238.0,57.64
b0484,MBLCLPDI_00474,2.5099999999999993e-154,41.315,639,462.0,62.13
b0485,MBLCLPDI_01389,5.709999999999999e-64,36.275,306,200.0,58.5
b0512,MBLCLPDI_00130,3.3899999999999997e-47,27.375999999999998,442,164.0,46.38
b0522,MBLCLPDI_00141,2.61e-46,34.328,268,158.0,53.36
b0523,MBLCLPDI_00140,5.789999999999999e-59,56.208999999999996,153,177.0,75.82
b0526,MBLCLPDI_00330,2.729999999999999e-138,44.443999999999996,477,402.0,59.96
b0529,MBLCLPDI_01316,4.9299999999999993e-73,45.907,281,222.0,59.43
b0535,MBLCLPDI_00984,2.45e-30,33.023,215,107.0,54.42
b0570,MBLCLPDI_00124,1.1699999999999998e-31,33.488,215,121.0,54.88
b0590,MBLCLPDI_01119,2.33e-27,33.961999999999996,265,104.0,53.96
b0605,MBLCLPDI_01199,1.2599999999999998e-73,51.336999999999996,187,216.0,70.05
b0634,MBLCLPDI_00523,7.04e-39,31.287,342,139.0,52.05
b0639,MBLCLPDI_01370,9.83e-28,29.858,211,100.0,47.39
b0642,MBLCLPDI_01432,0.0,41.435,864,645.0,57.64
b0651,MBLCLPDI_00963,2.0899999999999994e-129,57.692,312,367.0,73.4
b0652,MBLCLPDI_01668,3.829999999999999e-98,57.261,241,283.0,75.93
b0658,MBLCLPDI_01917,6.41e-26,29.412,238,102.0,53.36
b0660,MBLCLPDI_00823,2.8599999999999992e-98,51.63399999999999,306,290.0,67.65
b0674,MBLCLPDI_02103,6.4e-48,29.949,394,172.0,48.98
b0675,MBLCLPDI_00614,2e-43,32.773,238,144.0,54.62
b0678,MBLCLPDI_01155,1.07e-33,32.547,212,118.0,52.36
b0727,MBLCLPDI_00715,1.85e-59,30.979,439,196.0,52.16
b0730,MBLCLPDI_00309,9.16e-34,30.263,228,117.0,50.88
b0734,MBLCLPDI_00556,5.4200000000000006e-55,30.997,371,180.0,49.6
b0752,MBLCLPDI_01664,9.81e-55,36.042,283,176.0,57.6
b0755,MBLCLPDI_00152,2.7699999999999993e-95,58.222,225,275.0,73.78
b0756,MBLCLPDI_01697,6.61e-34,27.628,333,124.0,45.05
b0757,MBLCLPDI_01933,1.2699999999999997e-74,33.684,380,233.0,56.32
b0759,MBLCLPDI_00368,8.54e-85,41.593,339,255.0,57.52
b0767,MBLCLPDI_00660,7.09e-34,30.483,269,123.0,50.56
b0779,MBLCLPDI_00414,0.0,57.681000000000004,664,778.0,75.15
b0780,MBLCLPDI_00418,3.2899999999999996e-34,31.359,287,123.0,52.61
b0782,MBLCLPDI_01105,3.46e-30,38.514,148,104.0,59.46
b0786,MBLCLPDI_01384,4.0999999999999993e-38,37.247,247,129.0,57.09
b0789,MBLCLPDI_01949,2.8000000000000002e-33,25.613000000000003,367,126.0,46.05
b0801,MBLCLPDI_00802,4.23e-37,25.761999999999997,361,133.0,46.26
b0810,MBLCLPDI_00815,3.2399999999999994e-39,39.303000000000004,201,137.0,58.71
b0811,MBLCLPDI_01669,1.59e-27,34.978,223,102.0,54.71
b0820,MBLCLPDI_00381,9.099999999999998e-95,34.317,542,298.0,56.64
b0822,MBLCLPDI_00595,1.9999999999999998e-30,30.961,281,111.0,49.11
b0827,MBLCLPDI_01106,3.1699999999999996e-39,28.141,398,141.0,45.98
b0851,MBLCLPDI_01718,3.87e-38,31.837,245,129.0,50.61
b0859,MBLCLPDI_01589,1.3e-34,27.348000000000003,362,129.0,47.24
b0879,MBLCLPDI_00038,4.41e-59,43.611999999999995,227,194.0,63.88
b0884,MBLCLPDI_01613,5.709999999999999e-32,63.888999999999996,72,102.0,81.94
b0887,MBLCLPDI_00557,2.5399999999999994e-88,33.468,496,280.0,55.85
b0888,MBLCLPDI_00407,7.789999999999998e-69,37.5,320,213.0,60.0
b0890,MBLCLPDI_00663,3.4999999999999986e-121,47.01,485,392.0,64.74
b0892,MBLCLPDI_00538,1.4999999999999997e-98,39.161,429,298.0,57.11
b0893,MBLCLPDI_00103,9.29e-147,50.465,430,421.0,68.37
b0910,MBLCLPDI_00850,1.38e-44,40.097,207,145.0,60.87
b0911,MBLCLPDI_00851,2.04e-66,35.211,355,218.0,60.85
b0930,MBLCLPDI_02051,7.799999999999998e-89,35.345,464,274.0,53.88
b0948,MBLCLPDI_01012,5.13e-46,31.283,374,164.0,48.93
b0978,MBLCLPDI_00555,1.4299999999999997e-90,34.251999999999995,508,281.0,51.38
b1022,MBLCLPDI_02055,1.3699999999999997e-57,29.808000000000003,416,192.0,50.96
b1045,MBLCLPDI_01951,1.76e-57,52.695,167,174.0,67.66
b1053,MBLCLPDI_01206,1.2699999999999998e-116,42.968999999999994,384,342.0,64.58
b1090,MBLCLPDI_01293,4.4400000000000005e-60,33.918,342,193.0,52.92
b1091,MBLCLPDI_01087,3.41e-64,35.514,321,202.0,54.83
b1092,MBLCLPDI_01085,1.5599999999999998e-29,28.475,295,110.0,46.44
b1093,MBLCLPDI_01084,1.3399999999999998e-60,42.213,244,187.0,61.89
b1095,MBLCLPDI_01083,3.5599999999999995e-122,45.588,408,357.0,62.5
b1098,MBLCLPDI_00359,1.0699999999999998e-38,35.577,208,129.0,59.62
b1100,MBLCLPDI_00229,2.9499999999999995e-50,38.224000000000004,259,162.0,55.6
b1109,MBLCLPDI_00559,1.92e-36,28.718000000000004,390,134.0,47.44
b1117,MBLCLPDI_02019,7.009999999999998e-55,45.495,222,172.0,61.71
b1120,MBLCLPDI_00225,2.0999999999999998e-27,37.037,189,102.0,51.85
b1123,MBLCLPDI_01799,6.999999999999999e-76,38.58,324,234.0,56.48
b1124,MBLCLPDI_01800,1.2899999999999998e-52,36.327,245,168.0,64.49
b1125,MBLCLPDI_01801,3.39e-44,34.274,248,147.0,58.87
b1126,MBLCLPDI_01802,2.8999999999999995e-104,46.006,363,308.0,63.91
b1127,MBLCLPDI_00836,7.149999999999998e-126,45.343,408,366.0,65.69
b1133,MBLCLPDI_00687,1.0799999999999998e-136,55.248999999999995,362,390.0,72.93
b1190,MBLCLPDI_00273,3.64e-46,35.165,364,157.0,52.47
b1203,MBLCLPDI_00115,4.169999999999999e-141,54.645,366,401.0,73.22
b1204,MBLCLPDI_00279,3.92e-35,41.143,175,118.0,56.0
b1207,MBLCLPDI_00239,2.1499999999999993e-115,51.273999999999994,314,332.0,74.2
b1210,MBLCLPDI_01859,3.2199999999999997e-38,25.436,401,139.0,47.38
b1211,MBLCLPDI_00501,1.5299999999999997e-131,50.141000000000005,355,377.0,71.27
b1224,MBLCLPDI_01103,0.0,48.46,1234,1214.0,65.48
b1225,MBLCLPDI_01102,0.0,57.43,498,612.0,74.5
b1236,MBLCLPDI_00403,1.5199999999999996e-76,43.729,295,232.0,62.71
b1238,MBLCLPDI_00500,3.6499999999999995e-65,50.266999999999996,187,195.0,71.66
b1241,MBLCLPDI_00350,0.0,45.93,860,742.0,64.42
b1277,MBLCLPDI_00966,5.149999999999999e-63,52.083,192,196.0,66.67
b1281,MBLCLPDI_00132,8.01e-49,38.723,235,157.0,57.87
b1288,MBLCLPDI_01077,1.3899999999999998e-79,46.64,253,236.0,69.57
b1298,MBLCLPDI_00068,1.73e-28,35.909,220,104.0,47.27
b1302,MBLCLPDI_00215,1.0699999999999997e-74,32.242,397,236.0,53.4
b1309,MBLCLPDI_01701,2.2299999999999995e-54,28.226,496,187.0,45.56
b1316,MBLCLPDI_00059,6.27e-82,27.395,741,273.0,46.42
b1317,MBLCLPDI_00060,3.1699999999999994e-53,40.094,212,166.0,58.96
b1320,MBLCLPDI_00056,3.18e-31,27.706999999999997,314,115.0,48.09
b1327,MBLCLPDI_01649,1.92e-36,34.884,258,128.0,50.78
b1380,MBLCLPDI_01848,4.099999999999999e-64,34.985,323,202.0,56.35
b1432,MBLCLPDI_00245,9.27e-43,32.558,387,149.0,48.06
b1439,MBLCLPDI_00338,2.8699999999999993e-61,31.165,369,201.0,52.03
b1465,MBLCLPDI_01100,1.6699999999999997e-36,33.778,225,124.0,55.11
b1478,MBLCLPDI_01648,7.609999999999997e-147,60.651,338,414.0,75.15
b1479,MBLCLPDI_01690,4.559999999999998e-139,37.753,543,410.0,61.14
b1525,MBLCLPDI_00036,6.829999999999999e-113,38.938,452,336.0,57.74
b1539,MBLCLPDI_00742,4.14e-31,32.589,224,112.0,51.79
b1605,MBLCLPDI_01993,3.249999999999999e-81,34.510999999999996,481,255.0,57.17
b1611,MBLCLPDI_01689,2.289999999999999e-149,48.578,457,430.0,66.96
b1622,MBLCLPDI_02078,5.2399999999999996e-76,33.248000000000005,391,236.0,53.96
b1633,MBLCLPDI_00213,6.39e-46,40.625,192,147.0,57.81
b1637,MBLCLPDI_00154,4.839999999999998e-135,48.926,419,390.0,68.5
b1647,MBLCLPDI_00187,1.35e-41,31.076999999999998,325,142.0,47.38
b1657,MBLCLPDI_01950,7.219999999999999e-27,29.961,257,106.0,52.53
b1661,MBLCLPDI_00135,4.89e-59,36.181999999999995,351,193.0,50.43
b1662,MBLCLPDI_00965,2.86e-29,34.518,197,104.0,52.79
b1676,MBLCLPDI_00839,4.8399999999999984e-141,47.097,465,409.0,63.87
b1680,MBLCLPDI_00979,8.429999999999997e-148,50.125,399,422.0,67.67
b1682,MBLCLPDI_00977,4.959999999999999e-82,50.397,252,243.0,69.84
b1683,MBLCLPDI_00981,7.459999999999998e-112,38.125,480,335.0,57.71
b1701,MBLCLPDI_00974,2.71e-43,29.609,358,157.0,51.96
b1713,MBLCLPDI_01352,1.8199999999999993e-157,35.373000000000005,817,474.0,54.96
b1714,MBLCLPDI_01353,1.1699999999999998e-112,46.153999999999996,338,327.0,66.27
b1716,MBLCLPDI_01374,8.97e-43,58.261,115,132.0,79.13
b1718,MBLCLPDI_01376,8.11e-55,50.617,162,167.0,70.37
b1719,MBLCLPDI_02025,9.359999999999996e-127,36.486,592,383.0,56.42
b1740,MBLCLPDI_00311,5.269999999999999e-111,58.456,272,318.0,71.69
b1767,MBLCLPDI_02065,2.23e-53,33.728,338,174.0,52.66
b1771,MBLCLPDI_01390,1.57e-48,32.907,313,161.0,51.44
b1773,MBLCLPDI_00256,4.56e-39,36.0,275,134.0,51.64
b1776,MBLCLPDI_01747,3.2099999999999995e-26,27.072,362,103.0,46.69
b1778,MBLCLPDI_00204,3.6699999999999997e-35,47.059,119,115.0,64.71
b1779,MBLCLPDI_00426,3.749999999999999e-101,48.521,338,297.0,64.2
b1781,MBLCLPDI_01445,5.5499999999999996e-89,45.652,276,262.0,64.13
b1791,MBLCLPDI_01920,4.37e-63,31.267,371,202.0,53.64
b1792,MBLCLPDI_01958,5.829999999999999e-31,47.00899999999999,117,102.0,61.54
b1808,MBLCLPDI_01003,9.42e-33,33.19,232,130.0,54.31
b1814,MBLCLPDI_01200,8.54e-31,35.484,279,116.0,50.54
b1822,MBLCLPDI_00661,7.979999999999998e-37,31.855,248,128.0,48.79
b1828,MBLCLPDI_01455,8.129999999999999e-31,26.195999999999998,439,119.0,47.61
b1829,MBLCLPDI_00260,1.88e-30,35.586,222,112.0,54.05
b1852,MBLCLPDI_01921,5.019999999999999e-103,36.016,497,313.0,55.73
b1860,MBLCLPDI_00578,6.529999999999998e-138,58.176,318,391.0,76.1
b1861,MBLCLPDI_00577,6.690000000000001e-31,30.348000000000003,201,108.0,54.73
b1864,MBLCLPDI_00602,8.149999999999999e-66,47.368,247,201.0,65.18
b1866,MBLCLPDI_00812,0.0,48.229,593,557.0,66.95
b1876,MBLCLPDI_01405,2.0999999999999997e-82,32.857,560,265.0,52.32
b1913,MBLCLPDI_00739,5.019999999999998e-109,34.539,608,336.0,54.44
b1914,MBLCLPDI_01111,3.77e-35,33.333,216,120.0,54.63
b1917,MBLCLPDI_00814,8.84e-86,54.878,246,251.0,67.48
b1918,MBLCLPDI_00321,1.73e-65,48.443999999999996,225,198.0,66.67
b1920,MBLCLPDI_00323,5.139999999999999e-44,35.424,271,146.0,56.46
b1969,MBLCLPDI_01363,6.02e-56,41.891999999999996,222,174.0,60.81
b1991,MBLCLPDI_01851,3.749999999999999e-67,39.458,332,211.0,59.34
b1993,MBLCLPDI_01855,2.26e-33,36.269,193,114.0,54.92
b2029,MBLCLPDI_01922,0.0,66.17,470,644.0,80.64
b2034,MBLCLPDI_01519,4.5200000000000006e-35,32.922,243,126.0,54.73
b2036,MBLCLPDI_01524,6.439999999999998e-166,58.266000000000005,369,464.0,76.96
b2040,MBLCLPDI_01180,1.05e-53,36.519,293,172.0,55.63
b2047,MBLCLPDI_01525,3.6399999999999996e-37,38.35,206,131.0,57.77
b2066,MBLCLPDI_01350,4.999999999999999e-68,50.732,205,204.0,72.2
b2099,MBLCLPDI_00170,2.1399999999999997e-72,38.415,328,224.0,58.54
b2100,MBLCLPDI_00172,7.749999999999999e-56,33.108000000000004,296,179.0,56.42
b2103,MBLCLPDI_01139,1.3200000000000002e-56,38.224000000000004,259,179.0,57.92
b2104,MBLCLPDI_01138,2.2399999999999998e-35,37.179,234,124.0,52.99
b2114,MBLCLPDI_00228,1.4499999999999995e-81,26.513,694,268.0,47.41
b2126,MBLCLPDI_00989,7.639999999999998e-88,31.463,588,279.0,53.57
b2129,MBLCLPDI_00202,2.0899999999999995e-81,49.16,238,243.0,68.49
b2146,MBLCLPDI_01447,2.3999999999999997e-153,52.985,402,436.0,70.4
b2147,MBLCLPDI_01446,0.0,64.891,413,577.0,78.69
b2153,MBLCLPDI_01414,1.85e-38,38.83,188,128.0,59.04
b2156,MBLCLPDI_01657,0.0,54.098,488,545.0,73.98
b2183,MBLCLPDI_00845,7.569999999999999e-41,37.446999999999996,235,136.0,57.87
b2224,MBLCLPDI_00057,4.1699999999999993e-137,52.672,393,393.0,67.68
b2231,MBLCLPDI_00006,0.0,48.485,858,813.0,69.23
b2249,MBLCLPDI_00572,2.4e-34,31.25,288,127.0,49.65
b2262,MBLCLPDI_00973,5.309999999999998e-116,58.242,273,331.0,75.09
b2267,MBLCLPDI_02039,4.72e-31,40.288000000000004,139,105.0,58.99
b2268,MBLCLPDI_00741,1.8299999999999997e-106,48.36600000000001,306,308.0,67.97
b2296,MBLCLPDI_00611,1.2099999999999998e-102,41.919,396,306.0,62.63
b2297,MBLCLPDI_00439,4.719999999999999e-80,44.193999999999996,310,254.0,61.94
b2298,MBLCLPDI_01996,2.7399999999999993e-65,29.389,507,216.0,49.51
b2312,MBLCLPDI_00147,2.2799999999999995e-99,38.604,487,304.0,57.91
b2315,MBLCLPDI_01413,3.7799999999999995e-44,30.711,394,155.0,48.48
b2316,MBLCLPDI_01079,1.4999999999999997e-64,40.625,256,201.0,62.11
b2317,MBLCLPDI_00616,9.119999999999999e-57,47.343,207,175.0,66.67
b2318,MBLCLPDI_01604,1.1799999999999998e-54,37.751,249,173.0,58.23
b2319,MBLCLPDI_00700,5.1e-49,31.232,349,164.0,52.72
b2330,MBLCLPDI_00502,1.48e-31,37.838,185,115.0,54.05
b2351,MBLCLPDI_01526,2.0999999999999996e-78,43.321999999999996,307,237.0,62.54
b2373,MBLCLPDI_00544,0.0,50.534,562,580.0,71.17
b2374,MBLCLPDI_00545,1.38e-107,58.75899999999999,274,315.0,73.72
b2379,MBLCLPDI_00378,3.4199999999999994e-89,37.306,386,271.0,55.96
b2381,MBLCLPDI_00990,1.6600000000000002e-43,34.286,245,143.0,56.33
b2385,MBLCLPDI_00599,2.7699999999999995e-52,39.056,233,173.0,56.22
b2392,MBLCLPDI_01713,1e-59,32.274,409,196.0,51.83
b2393,MBLCLPDI_00107,1.3999999999999998e-65,34.021,388,210.0,56.96
b2400,MBLCLPDI_01336,4.619999999999999e-83,33.469,493,261.0,53.75
b2411,MBLCLPDI_01596,0.0,41.653999999999996,665,534.0,61.95
b2414,MBLCLPDI_01948,4.8299999999999997e-82,49.051,316,247.0,65.19
b2416,MBLCLPDI_01475,5.1799999999999984e-170,43.881,572,491.0,64.51
b2431,MBLCLPDI_01705,8.369999999999998e-28,28.8,250,105.0,46.4
b2454,MBLCLPDI_01907,1.36e-48,40.0,245,159.0,55.51
b2455,MBLCLPDI_01891,4.5999999999999986e-104,40.95,442,315.0,57.92
b2462,MBLCLPDI_01888,1.33e-35,47.748000000000005,111,114.0,73.87
b2476,MBLCLPDI_00143,1.5299999999999997e-57,43.172,227,179.0,59.03
b2478,MBLCLPDI_00697,3e-58,37.234,282,185.0,54.96
b2497,MBLCLPDI_00509,6.23e-120,45.946000000000005,407,352.0,70.27
b2498,MBLCLPDI_00505,1.7599999999999997e-76,51.724,203,225.0,72.91
b2499,MBLCLPDI_00148,9.509999999999996e-109,48.036,331,317.0,67.98
b2500,MBLCLPDI_00149,1.8600000000000002e-43,34.27,178,140.0,58.99
b2501,MBLCLPDI_00366,4.1999999999999987e-119,32.861,706,369.0,52.83
b2502,MBLCLPDI_00367,1.42e-26,28.758000000000003,306,105.0,47.06
b2507,MBLCLPDI_01772,0.0,51.931000000000004,518,571.0,73.17
b2508,MBLCLPDI_00122,2.1399999999999996e-29,62.353,85,115.0,78.82
b2509,MBLCLPDI_01315,1.95e-92,36.569,443,283.0,58.69
b2511,MBLCLPDI_00852,1.5299999999999994e-102,36.98,457,310.0,59.08
b2514,MBLCLPDI_01990,1.4899999999999997e-105,40.399,401,315.0,62.09
b2518,MBLCLPDI_00219,1.13e-31,41.007,139,106.0,56.83
b2530,MBLCLPDI_00552,6.059999999999999e-75,40.108000000000004,369,234.0,58.27
b2533,MBLCLPDI_00718,9.89e-28,28.151,238,103.0,49.58
b2551,MBLCLPDI_00504,9.299999999999997e-174,58.251999999999995,412,488.0,74.03
b2559,MBLCLPDI_00354,2.2899999999999997e-40,44.36600000000001,142,130.0,65.49
b2566,MBLCLPDI_00826,1.0299999999999999e-66,39.519,291,207.0,60.14
b2567,MBLCLPDI_01291,2.8e-35,32.743,226,121.0,53.98
b2569,MBLCLPDI_00793,0.0,55.743,592,700.0,75.17
b2580,MBLCLPDI_00438,7.639999999999998e-74,52.036,221,220.0,66.52
b2592,MBLCLPDI_00050,6.279999999999998e-74,50.41,244,253.0,72.95
b2594,MBLCLPDI_01016,1.4399999999999999e-78,43.849,317,238.0,62.46
b2606,MBLCLPDI_01281,8.02e-43,58.036,112,133.0,72.32
b2607,MBLCLPDI_01283,4.869999999999999e-80,47.967,246,237.0,63.01
b2610,MBLCLPDI_01287,7.739999999999998e-146,46.681000000000004,452,421.0,67.7
b2616,MBLCLPDI_01310,4.239999999999999e-99,34.05,558,307.0,53.94
b2620,MBLCLPDI_00436,2.4e-40,42.038000000000004,157,129.0,63.69
b2675,MBLCLPDI_00352,0.0,50.0,714,749.0,69.33
b2676,MBLCLPDI_00351,1.5299999999999996e-105,47.799,318,308.0,65.41
b2677,MBLCLPDI_00208,1.07e-54,41.739,230,181.0,64.78
b2686,MBLCLPDI_01034,5.22e-27,24.205,409,109.0,45.48
b2687,MBLCLPDI_01744,7.890000000000001e-38,37.748000000000005,151,123.0,58.94
b2697,MBLCLPDI_00583,0.0,41.077,891,654.0,59.37
b2699,MBLCLPDI_00573,2.1899999999999993e-148,59.813,321,419.0,80.69
b2711,MBLCLPDI_00072,6.399999999999999e-30,29.166999999999998,240,115.0,46.25
b2733,MBLCLPDI_00575,0.0,39.089,834,585.0,60.19
b2771,MBLCLPDI_01797,2.9599999999999994e-60,31.323,431,199.0,51.97
b2779,MBLCLPDI_00429,1.5299999999999994e-176,59.858999999999995,426,497.0,74.18
b2780,MBLCLPDI_00248,0.0,55.268,541,599.0,70.98
b2784,MBLCLPDI_00809,2.6999999999999995e-166,37.341,707,493.0,58.27
b2801,MBLCLPDI_00447,4.3499999999999995e-79,33.949,433,248.0,56.35
b2827,MBLCLPDI_00857,5.309999999999999e-106,50.479,313,306.0,61.02
b2837,MBLCLPDI_00600,7.679999999999999e-41,30.031999999999996,313,142.0,51.12
b2838,MBLCLPDI_00694,9.319999999999999e-46,32.471,425,159.0,49.88
b2874,MBLCLPDI_00469,4.469999999999998e-108,52.941,306,313.0,71.9
b2888,MBLCLPDI_01988,5.019999999999999e-91,39.524,420,280.0,61.19
b2891,MBLCLPDI_00397,2.5599999999999997e-112,51.988,327,327.0,68.5
b2894,MBLCLPDI_00841,7e-52,33.446,296,168.0,58.45
b2899,MBLCLPDI_00859,2.9699999999999997e-35,38.249,217,120.0,59.91
b2913,MBLCLPDI_00047,6.36e-26,34.156,243,103.0,47.74
b2914,MBLCLPDI_00325,3.0899999999999994e-52,41.778,225,164.0,62.67
b2926,MBLCLPDI_00427,2.1399999999999994e-97,42.537,402,292.0,60.45
