qseqid,sseqid,evalue,pident,length,bitscore,ppos
stu0060,MBLCLPDI_00573,2.3899999999999993e-169,66.667,342,473.0,82.46
stu0062,MBLCLPDI_00779,0.0,49.625,1465,1491.0,69.15
stu0073,MBLCLPDI_00769,2.0299999999999993e-144,72.20100000000001,259,401.0,86.49
stu0074,MBLCLPDI_00770,4.3700000000000005e-91,44.412,340,270.0,60.88
stu0076,MBLCLPDI_01647,4.2799999999999994e-43,48.684,152,136.0,67.76
stu0080,MBLCLPDI_01699,1.55e-42,31.451999999999998,372,150.0,54.03
stu0084,MBLCLPDI_00330,0.0,54.468,470,529.0,70.43
stu0085,MBLCLPDI_00331,1.4699999999999999e-50,58.4,125,154.0,76.0
stu0088,MBLCLPDI_00332,1.7499999999999998e-84,51.883,239,248.0,69.46
stu0092,MBLCLPDI_00379,3.979999999999999e-175,71.473,319,484.0,85.27
stu0093,MBLCLPDI_01603,5.179999999999999e-77,68.493,146,221.0,84.93
stu0094,MBLCLPDI_01602,2.0699999999999997e-71,75.781,128,206.0,89.06
stu0113,MBLCLPDI_01027,0.0,70.917,447,639.0,82.55
stu0117,MBLCLPDI_01600,6.33e-29,32.804,189,103.0,50.79
stu0118,MBLCLPDI_00789,5.85e-52,28.901999999999997,346,172.0,52.02
stu0119,MBLCLPDI_00790,2.39e-44,45.122,164,142.0,67.07
stu0120,MBLCLPDI_00791,0.0,76.96300000000001,573,890.0,88.13
stu0121,MBLCLPDI_00792,2.5199999999999993e-148,57.288999999999994,391,421.0,68.8
stu0122,MBLCLPDI_01604,7.199999999999999e-81,49.799,249,239.0,64.66
stu0123,MBLCLPDI_01139,1.9500000000000002e-27,30.12,249,102.0,50.2
stu0128,MBLCLPDI_00135,5.0199999999999987e-154,56.456,395,437.0,70.89
stu0131,MBLCLPDI_00596,2.1199999999999997e-65,40.824,267,202.0,61.05
stu0132,MBLCLPDI_00734,1.4299999999999992e-160,53.864,427,456.0,73.07
stu0133,MBLCLPDI_00247,7.57e-40,58.974,117,130.0,69.23
stu0134,MBLCLPDI_00248,0.0,71.107,533,811.0,83.86
stu0137,MBLCLPDI_00806,2.5499999999999994e-77,38.486,317,235.0,62.46
stu0138,MBLCLPDI_00807,1.3099999999999998e-56,41.129,248,177.0,59.27
stu0144,MBLCLPDI_01918,8.4e-53,50.685,146,160.0,71.92
stu0145,MBLCLPDI_00809,0.0,51.007,745,783.0,71.41
stu0146,MBLCLPDI_00810,8.880000000000001e-57,54.167,144,170.0,73.61
stu0151,MBLCLPDI_00712,3.0999999999999993e-65,52.198,182,195.0,69.23
stu0153,MBLCLPDI_01702,2.26e-33,27.901,362,124.0,50.0
stu0154,MBLCLPDI_00730,4.8200000000000006e-43,70.78699999999999,89,131.0,84.27
stu0164,MBLCLPDI_00977,1.7699999999999994e-135,72.374,257,379.0,86.38
stu0165,MBLCLPDI_00978,2.7099999999999994e-125,42.891000000000005,422,365.0,66.35
stu0166,MBLCLPDI_00979,0.0,61.443000000000005,402,523.0,78.11
stu0167,MBLCLPDI_00980,5.54e-48,52.113,142,148.0,70.42
stu0168,MBLCLPDI_00981,0.0,70.61399999999999,456,702.0,86.18
stu0180,MBLCLPDI_00287,8.299999999999999e-89,44.599,287,263.0,68.64
stu0181,MBLCLPDI_00288,1.2599999999999997e-130,55.238,315,372.0,74.6
stu0186,MBLCLPDI_00235,4.179999999999999e-27,29.858,211,100.0,53.55
stu0194,MBLCLPDI_00462,0.0,66.14699999999999,449,628.0,81.96
stu0195,MBLCLPDI_00602,1.0299999999999999e-48,40.693000000000005,231,157.0,60.17
stu0197,MBLCLPDI_00775,4.289999999999999e-97,53.785,251,280.0,70.12
stu0198,MBLCLPDI_00776,3.5399999999999996e-72,44.361000000000004,266,218.0,66.17
stu0199,MBLCLPDI_00777,4.1499999999999986e-123,46.062,419,360.0,65.16
stu0200,MBLCLPDI_00778,0.0,49.028999999999996,618,582.0,66.02
stu0204,MBLCLPDI_00385,0.0,70.425,541,745.0,85.58
stu0211,MBLCLPDI_01985,5.44e-56,38.181999999999995,275,179.0,57.45
stu0212,MBLCLPDI_01404,0.0,44.105,687,567.0,63.32
stu0215,MBLCLPDI_00335,1.6899999999999995e-65,53.672,177,195.0,68.93
stu0216,MBLCLPDI_00188,3.94e-33,44.379,169,111.0,58.58
stu0220,MBLCLPDI_01432,0.0,62.098,839,1080.0,76.28
stu0226,MBLCLPDI_00310,0.0,62.603,484,644.0,79.34
stu0227,MBLCLPDI_00311,3.799999999999999e-119,63.603,272,338.0,75.74
stu0229,MBLCLPDI_00324,1.2299999999999997e-164,52.315,432,467.0,68.98
stu0230,MBLCLPDI_01007,3.479999999999999e-153,39.916,714,461.0,58.96
stu0231,MBLCLPDI_01008,5.5499999999999986e-68,55.172,174,202.0,71.26
stu0232,MBLCLPDI_01009,8.299999999999999e-41,41.477,176,132.0,60.8
stu0234,MBLCLPDI_01012,1.2299999999999998e-162,57.256,379,458.0,74.93
stu0237,MBLCLPDI_01163,3.53e-58,42.276,246,198.0,62.2
stu0239,MBLCLPDI_01385,1.9499999999999996e-153,50.0,432,438.0,70.14
stu0242,MBLCLPDI_01349,2.0499999999999995e-57,56.129,155,173.0,78.71
stu0245,MBLCLPDI_01358,7.789999999999999e-66,37.821,312,205.0,58.65
stu0247,MBLCLPDI_01356,1.1999999999999998e-64,41.86,258,198.0,62.02
stu0248,MBLCLPDI_01355,3.5699999999999994e-60,61.268,142,180.0,76.06
stu0249,MBLCLPDI_01549,7.64e-37,37.788000000000004,217,125.0,59.45
stu0252,MBLCLPDI_00694,6.799999999999999e-43,30.288,416,152.0,46.63
stu0255,MBLCLPDI_00591,1.25e-61,38.235,272,191.0,58.46
stu0256,MBLCLPDI_00592,1.1e-52,46.667,195,168.0,65.13
stu0257,MBLCLPDI_00593,9.040000000000001e-35,39.766,171,116.0,52.63
stu0260,MBLCLPDI_00843,4.949999999999999e-41,38.461999999999996,234,137.0,58.12
stu0261,MBLCLPDI_00844,1.58e-48,43.888999999999996,180,153.0,66.11
stu0262,MBLCLPDI_00845,3.2499999999999995e-88,54.93600000000001,233,257.0,74.25
stu0267,MBLCLPDI_00662,5.229999999999999e-73,59.281000000000006,167,213.0,74.85
stu0291,MBLCLPDI_00323,4.03e-34,33.205999999999996,262,120.0,50.76
stu0297,MBLCLPDI_00209,1.9199999999999996e-77,45.486000000000004,288,234.0,65.97
stu0301,MBLCLPDI_00208,2.3699999999999994e-127,51.585,347,365.0,73.78
stu0302,MBLCLPDI_00207,6.559999999999998e-73,57.658,222,218.0,72.52
stu0313,MBLCLPDI_01715,2.79e-30,31.39,223,108.0,52.91
stu0314,MBLCLPDI_01716,4.97e-71,32.684,462,228.0,56.49
stu0315,MBLCLPDI_00110,2.6299999999999995e-82,53.75,240,242.0,67.08
stu0316,MBLCLPDI_01365,9.699999999999999e-29,35.374,147,101.0,60.54
stu0317,MBLCLPDI_01363,6.239999999999999e-100,64.15899999999999,226,286.0,78.32
stu0319,MBLCLPDI_01379,1.12e-60,58.0,150,181.0,70.67
stu0321,MBLCLPDI_01377,2.8999999999999995e-79,41.29,310,239.0,65.16
stu0322,MBLCLPDI_00852,0.0,69.565,437,640.0,83.75
stu0329,MBLCLPDI_00103,0.0,65.012,423,580.0,81.09
stu0334,MBLCLPDI_01209,3.049999999999999e-79,47.736999999999995,243,234.0,65.02
stu0335,MBLCLPDI_00986,6.339999999999999e-48,34.961999999999996,266,156.0,56.02
stu0336,MBLCLPDI_00549,2.83e-93,36.383,470,286.0,58.72
stu0337,MBLCLPDI_00440,6.64e-39,43.885,139,125.0,68.35
stu0339,MBLCLPDI_01183,5.799999999999999e-50,37.262,263,168.0,60.84
stu0340,MBLCLPDI_00780,2.4799999999999998e-45,44.805,154,142.0,67.53
stu0341,MBLCLPDI_00781,1.2599999999999998e-104,45.026,382,310.0,66.49
stu0344,MBLCLPDI_00784,0.0,60.538000000000004,669,803.0,76.08
stu0345,MBLCLPDI_00785,2.8999999999999993e-43,53.097,113,134.0,78.76
stu0349,MBLCLPDI_02102,2.29e-108,42.278,518,327.0,57.53
stu0350,MBLCLPDI_01430,7.149999999999998e-121,39.411,543,363.0,58.75
stu0353,MBLCLPDI_02078,6.519999999999998e-68,31.888,392,216.0,52.3
stu0355,MBLCLPDI_00505,1.0299999999999998e-113,70.142,211,319.0,87.68
stu0356,MBLCLPDI_00422,3.949999999999999e-100,67.876,193,284.0,84.97
stu0366,MBLCLPDI_01948,4.349999999999999e-130,61.842,304,369.0,79.28
stu0367,MBLCLPDI_00392,1.0100000000000001e-54,40.488,205,169.0,65.85
stu0368,MBLCLPDI_00393,1.2099999999999999e-97,39.041,438,296.0,57.76
stu0369,MBLCLPDI_00394,1.1799999999999997e-50,40.351,228,160.0,57.46
stu0370,MBLCLPDI_00395,1.4699999999999997e-67,55.801,181,200.0,73.48
stu0372,MBLCLPDI_00873,2.3599999999999993e-116,53.548,310,334.0,71.94
stu0375,MBLCLPDI_01528,1.1599999999999999e-32,31.395,258,116.0,53.49
stu0376,MBLCLPDI_00094,5.2899999999999985e-142,44.468999999999994,452,411.0,67.04
stu0377,MBLCLPDI_02050,2.3899999999999998e-102,48.328,329,300.0,64.74
stu0378,MBLCLPDI_00693,1.1699999999999998e-131,43.458999999999996,451,384.0,63.86
stu0381,MBLCLPDI_01088,2.8300000000000003e-45,47.518,141,141.0,69.5
stu0382,MBLCLPDI_01087,1.4399999999999996e-96,47.54600000000001,326,285.0,65.95
stu0386,MBLCLPDI_01085,2.08e-56,36.455,299,181.0,56.86
stu0387,MBLCLPDI_01084,3.15e-89,51.23,244,260.0,71.31
stu0388,MBLCLPDI_01083,1.7299999999999993e-152,53.18600000000001,408,434.0,70.59
stu0390,MBLCLPDI_01081,9.19e-41,47.857,140,129.0,64.29
stu0391,MBLCLPDI_01080,0.0,55.973,452,527.0,75.22
stu0392,MBLCLPDI_01079,8.499999999999998e-108,53.333,285,310.0,68.77
stu0393,MBLCLPDI_01078,3.589999999999999e-92,50.397,252,268.0,71.03
stu0394,MBLCLPDI_01744,4.269999999999999e-84,72.078,154,240.0,84.42
stu0397,MBLCLPDI_00574,0.0,55.14,535,565.0,75.89
stu0411,MBLCLPDI_00552,4.3699999999999993e-147,53.42100000000001,380,417.0,70.53
stu0412,MBLCLPDI_00553,1.7499999999999996e-151,54.68,406,431.0,70.94
stu0413,MBLCLPDI_01391,6.629999999999999e-25,24.49,392,103.0,46.94
stu0417,MBLCLPDI_01324,5.649999999999999e-49,71.28699999999999,101,147.0,86.14
stu0418,MBLCLPDI_01322,1.13e-45,70.652,92,138.0,84.78
stu0423,MBLCLPDI_01020,1.52e-28,32.857,210,104.0,53.81
stu0424,MBLCLPDI_00698,6.55e-85,48.45,258,250.0,67.44
stu0425,MBLCLPDI_00855,2.2299999999999996e-113,42.857,399,333.0,63.41
stu0426,MBLCLPDI_00856,0.0,48.50899999999999,637,583.0,67.03
stu0431,MBLCLPDI_01359,5.04e-52,53.676,136,157.0,68.38
stu0433,MBLCLPDI_01847,5.4499999999999985e-143,38.64,603,423.0,60.2
stu0438,MBLCLPDI_00771,1.68e-115,64.557,237,327.0,81.86
stu0439,MBLCLPDI_00772,3.16e-64,52.513999999999996,179,192.0,72.07
stu0440,MBLCLPDI_00840,7.809999999999998e-90,50.177,283,265.0,67.84
stu0447,MBLCLPDI_00823,1.7299999999999995e-131,59.163999999999994,311,375.0,76.21
stu0451,MBLCLPDI_00228,0.0,59.644,674,839.0,76.11
stu0457,MBLCLPDI_00583,0.0,54.535,882,964.0,71.43
stu0462,MBLCLPDI_00377,4.599999999999999e-101,52.107,261,291.0,74.33
stu0463,MBLCLPDI_00378,0.0,68.878,392,556.0,79.85
stu0467,MBLCLPDI_00215,7.34e-48,28.101,395,164.0,49.87
stu0477,MBLCLPDI_00554,0.0,65.203,888,1213.0,80.18
stu0479,MBLCLPDI_00510,5.5e-51,39.738,229,162.0,57.64
stu0480,MBLCLPDI_00512,6.4299999999999995e-34,37.58,157,114.0,65.61
stu0482,MBLCLPDI_00514,0.0,73.79,496,763.0,86.49
stu0483,MBLCLPDI_00515,2.3599999999999997e-92,43.949,314,272.0,63.69
stu0484,MBLCLPDI_00516,0.0,78.97,466,755.0,89.48
stu0486,MBLCLPDI_00720,3.1399999999999997e-81,37.913000000000004,393,252.0,56.49
stu0487,MBLCLPDI_00733,0.0,75.888,394,598.0,88.07
stu0488,MBLCLPDI_00428,5.22e-89,48.79,248,260.0,68.55
stu0489,MBLCLPDI_00359,1.7199999999999994e-72,54.04,198,215.0,72.73
stu0490,MBLCLPDI_00361,6.76e-48,32.278,316,159.0,50.32
stu0493,MBLCLPDI_00363,1.7999999999999996e-104,52.613,287,302.0,70.03
stu0494,MBLCLPDI_01562,1.4499999999999995e-91,41.131,389,278.0,62.72
stu0496,MBLCLPDI_01426,8.199999999999999e-38,46.207,145,130.0,62.07
stu0505,MBLCLPDI_00828,0.0,79.538,303,518.0,88.78
stu0507,MBLCLPDI_00829,0.0,49.277,692,669.0,68.06
stu0509,MBLCLPDI_01438,5.629999999999999e-114,41.348,445,339.0,64.27
stu0521,MBLCLPDI_01015,8.58e-34,45.775,142,112.0,68.31
stu0522,MBLCLPDI_01016,1.5099999999999996e-125,62.543,291,357.0,72.85
stu0523,MBLCLPDI_00076,5.45e-65,55.0,180,193.0,71.67
stu0524,MBLCLPDI_00509,1.5699999999999997e-163,58.255,424,462.0,76.65
stu0525,MBLCLPDI_00129,3.869999999999999e-112,53.559,295,323.0,70.17
stu0526,MBLCLPDI_00091,2.809999999999999e-144,52.975,353,409.0,72.52
stu0527,MBLCLPDI_00090,0.0,65.655,1054,1429.0,80.46
stu0536,MBLCLPDI_00342,2.39e-58,55.09,167,176.0,73.05
stu0537,MBLCLPDI_00343,5.15e-32,63.934,122,105.0,72.95
stu0539,MBLCLPDI_01846,6.0399999999999976e-167,43.845,593,485.0,63.91
stu0541,MBLCLPDI_01155,2.9799999999999993e-96,57.94,233,277.0,71.67
stu0552,MBLCLPDI_01666,9.620000000000001e-61,44.545,220,186.0,67.73
stu0557,MBLCLPDI_00191,1.1899999999999996e-128,45.538000000000004,437,375.0,62.24
stu0559,MBLCLPDI_01002,5.579999999999999e-57,39.355,310,182.0,57.42
stu0560,MBLCLPDI_01001,8.480000000000001e-56,38.411,302,180.0,58.28
stu0561,MBLCLPDI_01000,1.38e-37,29.023000000000003,348,134.0,50.29
stu0562,MBLCLPDI_00999,2.769999999999999e-74,37.353,340,229.0,59.12
stu0563,MBLCLPDI_00238,1.4499999999999998e-162,51.67,449,463.0,68.6
stu0564,MBLCLPDI_00682,6.33e-49,43.75,176,153.0,64.77
stu0566,MBLCLPDI_00684,1.8099999999999997e-63,41.92100000000001,229,193.0,62.88
stu0570,MBLCLPDI_01474,1.4399999999999997e-116,43.21,405,343.0,65.19
stu0572,MBLCLPDI_02025,0.0,56.806999999999995,595,706.0,74.29
stu0575,MBLCLPDI_00859,3.0099999999999998e-33,36.62,213,115.0,60.56
stu0576,MBLCLPDI_00223,1.3399999999999997e-128,47.229,415,374.0,65.78
stu0577,MBLCLPDI_00761,8.249999999999997e-116,47.803999999999995,387,338.0,65.89
stu0581,MBLCLPDI_00735,0.0,67.67699999999999,396,548.0,82.32
stu0582,MBLCLPDI_00736,2.5099999999999993e-78,53.43899999999999,189,229.0,73.02
stu0583,MBLCLPDI_01169,5.979999999999998e-172,53.691,447,487.0,74.5
stu0584,MBLCLPDI_01170,1.08e-63,37.54,309,200.0,56.63
stu0587,MBLCLPDI_00869,6.389999999999998e-55,47.442,215,170.0,64.19
stu0588,MBLCLPDI_00870,0.0,67.702,644,897.0,81.99
stu0589,MBLCLPDI_00871,0.0,60.053999999999995,746,899.0,77.21
stu0592,MBLCLPDI_00851,2.99e-123,48.883,403,359.0,68.98
stu0602,MBLCLPDI_01478,0.0,61.119,751,921.0,77.36
stu0603,MBLCLPDI_00468,5.239999999999999e-117,49.693000000000005,326,337.0,71.78
stu0605,MBLCLPDI_00815,1.0300000000000001e-50,44.651,215,168.0,60.93
stu0608,MBLCLPDI_00975,8.059999999999997e-145,37.223,677,434.0,57.9
stu0611,MBLCLPDI_01316,1.37e-84,50.714,280,251.0,62.86
stu0612,MBLCLPDI_01429,3.339999999999999e-81,45.818000000000005,275,243.0,65.82
stu0613,MBLCLPDI_01346,3.6599999999999992e-109,34.097,698,342.0,51.86
stu0614,MBLCLPDI_00357,7.989999999999998e-99,64.467,197,281.0,85.79
stu0617,MBLCLPDI_00824,2.8699999999999998e-43,46.988,166,137.0,64.46
stu0618,MBLCLPDI_00825,3.3399999999999995e-33,38.635999999999996,132,109.0,65.15
stu0619,MBLCLPDI_00826,1.7299999999999995e-132,63.086999999999996,298,374.0,80.2
stu0620,MBLCLPDI_01381,1.6199999999999997e-82,46.691,272,245.0,59.19
stu0621,MBLCLPDI_01380,5.99e-46,41.451,193,146.0,60.1
stu0622,MBLCLPDI_01206,1.6599999999999997e-80,36.154,390,249.0,56.41
stu0625,MBLCLPDI_00435,0.0,43.95,719,614.0,66.2
stu0626,MBLCLPDI_00436,1.8799999999999997e-73,67.361,144,213.0,86.81
stu0627,MBLCLPDI_01692,4.199999999999999e-67,53.333,195,209.0,71.28
stu0629,MBLCLPDI_00599,1.8299999999999995e-127,51.099,364,366.0,69.23
stu0630,MBLCLPDI_00600,1.1099999999999998e-133,57.831,332,380.0,75.9
stu0633,MBLCLPDI_00704,1.19e-59,38.482,382,193.0,56.28
stu0635,MBLCLPDI_00429,0.0,69.585,434,611.0,82.26
stu0636,MBLCLPDI_01776,0.0,45.659,668,555.0,62.43
stu0644,MBLCLPDI_00210,1.8499999999999996e-122,56.536,306,350.0,72.55
stu0653,MBLCLPDI_01589,1.7299999999999994e-176,53.097,452,498.0,71.24
stu0663,MBLCLPDI_00312,0.0,51.318000000000005,721,707.0,71.01
stu0664,MBLCLPDI_00313,3.2399999999999997e-35,44.526,137,115.0,59.12
stu0666,MBLCLPDI_00400,8.039999999999998e-112,51.306999999999995,306,323.0,71.57
stu0667,MBLCLPDI_00401,3.1399999999999995e-86,47.86,257,254.0,68.48
stu0677,MBLCLPDI_02023,1.3999999999999998e-153,54.525,442,442.0,71.72
stu0692,MBLCLPDI_00289,0.0,62.195,492,623.0,76.63
stu0695,MBLCLPDI_01757,2.99e-30,36.478,159,103.0,57.23
stu0697,MBLCLPDI_00688,2.1299999999999998e-41,37.745,204,136.0,55.88
stu0698,MBLCLPDI_01844,2.7099999999999998e-50,50.323,155,155.0,70.97
stu0711,MBLCLPDI_00954,2.3499999999999996e-50,28.427,496,176.0,47.18
stu0714,MBLCLPDI_00259,1.2599999999999997e-70,57.988,169,208.0,76.33
stu0715,MBLCLPDI_00260,3.839999999999999e-104,57.096000000000004,303,302.0,75.58
stu0719,MBLCLPDI_00728,1.93e-30,26.498,317,114.0,49.53
stu0723,MBLCLPDI_01806,1.64e-51,52.74,146,158.0,68.49
stu0724,MBLCLPDI_01437,6.54e-31,37.143,140,104.0,60.71
stu0728,MBLCLPDI_01341,6.749999999999998e-132,63.407,317,374.0,80.13
stu0729,MBLCLPDI_00719,0.0,70.704,611,900.0,85.11
stu0731,MBLCLPDI_00671,2.2599999999999995e-135,47.588,456,393.0,67.76
stu0734,MBLCLPDI_00674,2.16e-133,44.708,463,389.0,66.52
stu0735,MBLCLPDI_00675,1.0199999999999996e-125,51.86,430,367.0,70.47
stu0736,MBLCLPDI_01321,3.91e-37,35.652,230,126.0,56.09
stu0739,MBLCLPDI_00678,2.3899999999999997e-48,33.071,254,157.0,56.69
stu0740,MBLCLPDI_00679,1.93e-38,35.821,201,132.0,63.18
stu0741,MBLCLPDI_00680,0.0,58.906000000000006,932,1159.0,74.68
stu0746,MBLCLPDI_00251,1.6299999999999997e-42,75.309,81,129.0,88.89
stu0747,MBLCLPDI_00098,3.699999999999999e-65,40.076,262,203.0,61.45
stu0748,MBLCLPDI_00581,1.1999999999999997e-116,53.31100000000001,302,335.0,71.19
stu0751,MBLCLPDI_00500,3.05e-95,68.449,187,271.0,84.49
stu0752,MBLCLPDI_00501,1.5799999999999996e-172,63.099,355,480.0,83.1
stu0753,MBLCLPDI_00502,7.389999999999998e-66,39.163000000000004,263,203.0,61.98
stu0754,MBLCLPDI_00503,1.9399999999999997e-37,41.489,188,129.0,56.38
stu0755,MBLCLPDI_00504,0.0,60.391000000000005,409,507.0,75.06
stu0761,MBLCLPDI_00270,2.1999999999999993e-178,47.255,510,507.0,69.22
stu0762,MBLCLPDI_00269,1.5199999999999996e-158,52.696000000000005,408,449.0,71.81
stu0764,MBLCLPDI_00267,9.289999999999998e-126,43.026,423,367.0,64.3
stu0787,MBLCLPDI_00411,0.0,59.441,572,693.0,74.83
stu0789,MBLCLPDI_01306,1.28e-38,41.243,177,132.0,66.1
stu0791,MBLCLPDI_00137,0.0,60.681999999999995,557,673.0,77.56
stu0795,MBLCLPDI_00064,1.2699999999999998e-31,34.955999999999996,226,115.0,54.87
stu0799,MBLCLPDI_01775,1.4899999999999996e-102,46.732,306,298.0,69.28
stu0818,MBLCLPDI_02051,1.0499999999999996e-179,54.708999999999996,446,505.0,72.2
stu0831,MBLCLPDI_00417,5.469999999999999e-111,53.608000000000004,291,319.0,74.57
stu0832,MBLCLPDI_00418,2.0799999999999993e-114,53.70399999999999,324,330.0,73.15
stu0833,MBLCLPDI_00419,2.6299999999999996e-76,41.368,307,232.0,64.17
stu0835,MBLCLPDI_01987,6.379999999999999e-58,55.128,156,183.0,75.0
stu0846,MBLCLPDI_01711,5.729999999999998e-127,63.816,304,360.0,79.28
stu0847,MBLCLPDI_00320,0.0,67.018,379,532.0,81.53
stu0855,MBLCLPDI_00033,5.5100000000000004e-45,35.172,290,150.0,50.69
stu0873,MBLCLPDI_00451,0.0,57.591,606,693.0,72.61
stu0875,MBLCLPDI_00565,8.939999999999998e-92,59.155,213,264.0,79.81
stu0876,MBLCLPDI_00566,3.539999999999999e-78,51.675,209,229.0,73.68
stu0877,MBLCLPDI_00567,1.4599999999999997e-91,51.383,253,269.0,66.01
stu0880,MBLCLPDI_01648,2.05e-43,61.468,109,140.0,75.23
stu0886,MBLCLPDI_01772,0.0,68.33,521,751.0,82.92
stu0887,MBLCLPDI_00309,4.109999999999999e-86,50.0,230,251.0,73.48
stu0888,MBLCLPDI_01288,1.3e-41,61.261,111,129.0,72.97
stu0889,MBLCLPDI_01287,0.0,62.077,443,576.0,79.68
stu0893,MBLCLPDI_00864,2.279999999999999e-96,47.059,289,281.0,67.47
stu0894,MBLCLPDI_00865,1.19e-83,48.583,247,247.0,67.61
stu0896,MBLCLPDI_00866,2.0499999999999995e-65,48.077,208,202.0,68.75
stu0897,MBLCLPDI_00867,0.0,67.33800000000001,695,976.0,81.73
stu0906,MBLCLPDI_00219,4.92e-43,48.905,137,135.0,68.61
stu0911,MBLCLPDI_00793,0.0,71.967,610,922.0,84.1
stu0923,MBLCLPDI_00138,0.0,51.878,559,588.0,70.48
stu0924,MBLCLPDI_00139,2.5199999999999997e-45,34.454,238,147.0,58.4
stu0932,MBLCLPDI_01664,5.439999999999999e-38,33.032,221,132.0,58.82
stu0936,MBLCLPDI_01747,1.1999999999999996e-161,63.793,348,452.0,77.59
stu0938,MBLCLPDI_02001,3.2499999999999995e-49,50.323,155,155.0,64.52
stu0950,MBLCLPDI_01019,2.7699999999999988e-149,42.755,559,436.0,66.01
stu0953,MBLCLPDI_01681,9.57e-49,44.91,167,152.0,65.27
stu0955,MBLCLPDI_00131,4.3799999999999987e-119,55.049,307,341.0,71.99
stu0967,MBLCLPDI_00132,1.1699999999999998e-72,49.167,240,217.0,63.75
stu0968,MBLCLPDI_00133,1.44e-85,56.038999999999994,207,248.0,74.88
stu0970,MBLCLPDI_00301,2.189999999999999e-180,55.11,499,511.0,72.34
stu0973,MBLCLPDI_00951,2.39e-26,35.0,180,101.0,52.78
stu0983,MBLCLPDI_02105,0.0,62.663999999999994,458,587.0,80.35
stu0986,MBLCLPDI_01597,0.0,54.746,769,813.0,71.13
stu0995,MBLCLPDI_00786,1.8499999999999996e-88,46.823,299,262.0,65.55
stu0996,MBLCLPDI_00787,2.9399999999999996e-63,36.082,291,198.0,55.33
stu0997,MBLCLPDI_00643,1.3900000000000002e-57,60.769,130,171.0,80.77
stu0999,MBLCLPDI_00718,3.02e-46,32.258,248,151.0,56.85
stu1000,MBLCLPDI_00987,2.3599999999999998e-147,47.174,460,423.0,63.48
stu1001,MBLCLPDI_01726,2.4399999999999996e-101,54.053999999999995,259,294.0,74.52
stu1002,MBLCLPDI_01725,1.4599999999999997e-124,63.051,295,354.0,76.95
stu1003,MBLCLPDI_01724,1.8099999999999998e-116,57.732,291,333.0,77.66
stu1004,MBLCLPDI_01723,1.2399999999999998e-107,55.556000000000004,252,308.0,76.19
stu1006,MBLCLPDI_01722,3.9999999999999994e-51,38.679,212,161.0,64.15
stu1007,MBLCLPDI_02048,0.0,48.516999999999996,843,823.0,68.21
stu1008,MBLCLPDI_01091,3.2699999999999997e-99,45.042,353,294.0,64.02
stu1009,MBLCLPDI_01833,1.1999999999999997e-88,41.791000000000004,335,265.0,62.69
stu1014,MBLCLPDI_00056,6.37e-38,29.653000000000002,317,133.0,51.74
stu1048,MBLCLPDI_00716,1.5599999999999997e-71,34.161,483,233.0,54.45
