locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBLCLPDI_00050	CDS	2238				ATP-dependent Clp protease ATP-binding subunit, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00051	CDS	2856				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00052	CDS	585				N-acetyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00053	CDS	1464				cardiolipin synthase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00054	CDS	3783				ATP-dependent helicase/deoxyribonuclease subunit B, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00055	CDS	4179				ATP-dependent helicase/nuclease subunit A, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00056	CDS	936				LacI family transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00057	CDS	1179				acetyl-CoA C-acetyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00058	CDS	1350				MFS transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00059	CDS	2253				glycoside hydrolase family 65 protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00060	CDS	663				beta-phosphoglucomutase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00061	CDS	432				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00062	CDS	621				GTP pyrophosphokinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00063	CDS	666				DNA-binding response regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00064	CDS	1248				sensor histidine kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00065	CDS	1182				chloride channel protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00066	CDS	1341				glutamate--cysteine ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00067	CDS	459				IS200/IS605 family transposase, Lactobacillus reuteri MM4-1A Contig21740, whole genome shotgun sequence
MBLCLPDI_00068	CDS	729				gamma-glutamyl-gamma-aminobutyrate hydrolase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00069	CDS	867				aldo/keto reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00070	CDS	1788				glycerophosphodiester phosphodiesterase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00071	CDS	498				ECF transporter S component, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00072	CDS	1350				NADH oxidase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00073	CDS	975				GMP reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00074	CDS	1299				adenylosuccinate synthetase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00075	CDS	783				hypothetical protein
MBLCLPDI_00076	CDS	540				bifunctional pyrimidine operon transcriptional regulator/uracil phosphoribosyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00077	CDS	387				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00078	CDS	1257				transposase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00079	CDS	456				IS200/IS605 family transposase, Lactobacillus reuteri MM4-1A Contig21740, whole genome shotgun sequence
MBLCLPDI_00080	CDS	732				gamma-glutamyl-gamma-aminobutyrate hydrolase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00081	CDS	1395				APC family permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00082	CDS	198				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00083	CDS	456				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00084	CDS	405				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00085	CDS	1542				accessory Sec system glycosyltransferase Asp1, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00086	CDS	1503				poly(glycerol-phosphate) alpha-glucosyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00087	CDS	1815				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00088	CDS	1683				alpha-glucosidase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00089	CDS	1386				MFS transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00090	CDS	3171				carbamoyl-phosphate synthase large chain, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00091	CDS	1089				carbamoyl-phosphate synthase small subunit, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00092	CDS	1374				MFS transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00093	CDS	1011				LacI family transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00094	CDS	1407				23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00095	CDS	150				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00096	CDS	573				NAD(P)H-dependent oxidoreductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00097	CDS	1251				NAD(P)H-dependent oxidoreductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00098	CDS	927				FAD:protein FMN transferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00099	CDS	1383				group II intron reverse transcriptase/maturase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00100	CDS	1824				surface protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00101	CDS	480				IS30 family transposase, Lactobacillus reuteri MM4-1A Contig21740, whole genome shotgun sequence
MBLCLPDI_00102	CDS	1938				surface protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00103	CDS	1308				serine--tRNA ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00104	CDS	1464				glutamine ABC transporter substrate-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00105	CDS	744				amino acid ABC transporter ATP-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00106	CDS	1350				amino acid permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00107	CDS	1212				nucleoside transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00108	CDS	909				ribonucleoside hydrolase RihC, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00109	CDS	885				3-hydroxyacyl-CoA dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00110	CDS	726				ribosomal RNA small subunit methyltransferase G, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00111	CDS	969				ParB/RepB/Spo0J family partition protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00112	CDS	771				ParA family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00113	CDS	885				ParB/RepB/Spo0J family partition protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00114	CDS	198				hypothetical protein
MBLCLPDI_00115	CDS	1098				redox-regulated ATPase YchF, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00116	CDS	771				hypothetical protein
MBLCLPDI_00117	CDS	675				deoxyribose-phosphate aldolase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00118	CDS	1194				phosphopentomutase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00119	CDS	1299				pyrimidine-nucleoside phosphorylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00120	CDS	711				purine-nucleoside phosphorylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00121	CDS	933				sugar-binding transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00122	CDS	1143				guanosine monophosphate reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00123	CDS	690				DNA-binding response regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00124	CDS	1146				sensor histidine kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00125	CDS	909				branched-chain amino acid ABC transporter permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00126	CDS	345				AzlD domain-containing protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00127	CDS	732	gltC			HTH-type transcriptional regulator GltC
MBLCLPDI_00128	CDS	162				hypothetical protein
MBLCLPDI_00129	CDS	930				aspartate carbamoyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00130	CDS	1293				dihydroorotase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00131	CDS	927				dihydroorotate dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00132	CDS	732				orotidine-5'-phosphate decarboxylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00133	CDS	642				orotate phosphoribosyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00134	CDS	642				phosphatase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00135	CDS	1212				class I SAM-dependent methyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00136	CDS	1026				AI-2E family transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00137	CDS	1662				formate--tetrahydrofolate ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00138	CDS	1680				acetolactate synthase AlsS, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00139	CDS	717				acetolactate decarboxylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00140	CDS	486				5-(carboxyamino)imidazole ribonucleotide mutase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00141	CDS	1155				5-(carboxyamino)imidazole ribonucleotide synthase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00142	CDS	1296				adenylosuccinate lyase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00143	CDS	720				phosphoribosylaminoimidazolesuccinocarboxamide synthase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00144	CDS	249				phosphoribosylformylglycinamidine synthase subunit PurS, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00145	CDS	681				phosphoribosylformylglycinamidine synthase subunit PurQ, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00146	CDS	2229				phosphoribosylformylglycinamidine synthase subunit PurL, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00147	CDS	1455				amidophosphoribosyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00148	CDS	1038				phosphoribosylformylglycinamidine cyclo-ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00149	CDS	573				phosphoribosylglycinamide formyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00150	CDS	1539				bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase,Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00151	CDS	1260				phosphoribosylamine--glycine ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00152	CDS	687				2,3-diphosphoglycerate-dependent phosphoglycerate mutase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00153	CDS	1050				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00154	CDS	1251				tyrosine--tRNA ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00155	rRNA	1573				16S ribosomal RNA
MBLCLPDI_00156	tRNA	77				tRNA-Ile(gat)
MBLCLPDI_00157	tRNA	75				tRNA-Ala(tgc)
MBLCLPDI_00158	rRNA	2919				23S ribosomal RNA
MBLCLPDI_00159	rRNA	112				5S ribosomal RNA
MBLCLPDI_00160	tRNA	75				tRNA-Thr(agt)
MBLCLPDI_00161	CDS	189				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00162	CDS	357				IS66 family insertion sequence hypothetical protein, Lactobacillus reuteri MM4-1A Contig21738, whole genome shotgun sequence
MBLCLPDI_00163	CDS	1530				IS66 family transposase, Lactobacillus reuteri MM4-1A Contig21723, whole genome shotgun sequence
MBLCLPDI_00164	CDS	120				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00165	CDS	489				transposase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00166	CDS	969				IS30 family transposase, Lactobacillus reuteri MM4-1A Contig21740, whole genome shotgun sequence
MBLCLPDI_00167	CDS	717				ADP-ribose pyrophosphatase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00168	CDS	1434				nicotinate phosphoribosyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00169	CDS	546				cysteine hydrolase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00170	CDS	1086				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00171	CDS	1353				allantoin permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00172	CDS	888				ribokinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00173	CDS	246				transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00174	CDS	1323				MFS transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00175	CDS	741				SDR family NAD(P)-dependent oxidoreductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00176	CDS	228				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00177	CDS	651				NADH-flavin reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00178	CDS	234				cytochrome b5, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00179	CDS	1419				sodium:proton antiporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00180	CDS	639	fieF			Ferrous-iron efflux pump FieF
MBLCLPDI_00181	CDS	330				hypothetical protein
MBLCLPDI_00182	CDS	93				hypothetical protein
MBLCLPDI_00183	CDS	543				serine hydrolase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00184	CDS	402				phosphate-starvation-inducible protein PsiE, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00185	CDS	771				triose-phosphate isomerase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00186	tRNA	76				tRNA-His(gtg)
MBLCLPDI_00187	CDS	954				aldo/keto reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00188	CDS	501				PAP2 family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00189	CDS	2850				hypothetical protein
MBLCLPDI_00190	CDS	279				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00191	CDS	1356				pyridine nucleotide-disulfide oxidoreductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00192	CDS	321				membrane protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00193	CDS	705				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00194	CDS	735				peptidase M10, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00195	CDS	1809				heavy metal translocating P-type ATPase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00196	CDS	1188				phosphopentomutase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00197	CDS	132				hypothetical protein
MBLCLPDI_00198	CDS	855				3-beta hydroxysteroid dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00199	CDS	321				Rrf2 family transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00200	CDS	900				glycine/betaine ABC transporter substrate-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00201	CDS	666				ABC transporter permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00202	CDS	771				ABC transporter ATP-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00203	CDS	639				ABC transporter permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00204	CDS	429				peptide-methionine (R)-S-oxide reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00205	CDS	1338				ClC family H(+)/Cl(-) exchange transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00206	CDS	1146				succinyl-diaminopimelate desuccinylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00207	CDS	690				ABC transporter permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00208	CDS	1065				methionine ABC transporter ATP-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00209	CDS	852				MetQ/NlpA family ABC transporter substrate-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00210	CDS	933				L-lactate dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00211	CDS	1197				tetracycline resistance MFS efflux pump, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00212	CDS	279				FMN-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00213	CDS	642				endonuclease III, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00214	CDS	1473				amino acid permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00215	CDS	1362				aspartate aminotransferase family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00216	tRNA	74				tRNA-Thr(ggt)
MBLCLPDI_00217	CDS	1170				cation:proton antiporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00218	CDS	2319				ATP-dependent DNA helicase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00219	CDS	444				nucleoside-diphosphate kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00220	CDS	960				site-specific DNA-methyltransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00221	CDS	1023				tryptophan--tRNA ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00222	CDS	942				Ppx/GppA family phosphatase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00223	CDS	1263				hydroxymethylglutaryl-CoA reductase, degradative, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00224	CDS	960				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00225	CDS	699				NAD-dependent protein deacylase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00226	CDS	126				hypothetical protein
MBLCLPDI_00227	CDS	849				hypothetical protein
MBLCLPDI_00228	CDS	2028				methionine--tRNA ligase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00229	CDS	819				TatD family deoxyribonuclease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00230	CDS	567				ribonuclease M5, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00231	CDS	894				ribosomal RNA small subunit methyltransferase A, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00232	CDS	243				hypothetical protein
MBLCLPDI_00233	CDS	852				4-diphosphocytidyl-2C-methyl-D-erythritol kinase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00234	CDS	912				metal ABC transporter substrate-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00235	CDS	672				ABC transporter ATPase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00236	CDS	798				metal ABC transporter permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
