qseqid,sseqid,evalue_x,pident_x,length_x,bitscore_x,ppos_x,qcovs_x,evalue_y,pident_y,length_y,bitscore_y,ppos_y,qcovs_y
WP_003664584.1,WP_003664584.1,1.1999999999999999e-114,100.0,200,405.2,100.0,100.0,1.1999999999999999e-114,100.0,200,405.2,100.0,100.0
WP_003664589.1,WP_003664589.1,4e-81,100.0,155,293.5,100.0,100.0,3.8999999999999994e-81,100.0,155,293.5,100.0,100.0
WP_003664604.1,WP_003664604.1,4.1e-35,100.0,66,139.4,100.0,100.0,4e-35,100.0,66,139.4,100.0,100.0
WP_003664620.1,WP_003664620.1,4.2999999999999995e-113,100.0,217,400.2,100.0,100.0,4.199999999999999e-113,100.0,217,400.2,100.0,100.0
WP_003664702.1,WP_003664702.1,9.7e-121,100.0,222,425.6,100.0,100.0,9.499999999999996e-121,100.0,222,425.6,100.0,100.0
WP_003664757.1,WP_003664757.1,7.599999999999999e-103,100.0,185,365.9,100.0,100.0,7.399999999999999e-103,100.0,185,365.9,100.0,100.0
WP_003664819.1,WP_003664819.1,7.7e-39,100.0,83,152.1,100.0,100.0,7.6e-39,100.0,83,152.1,100.0,100.0
WP_003664827.1,WP_003664827.1,1.8999999999999995e-98,100.0,178,351.3,100.0,100.0,1.7999999999999998e-98,100.0,178,351.3,100.0,100.0
WP_003664851.1,WP_003664851.1,3.0999999999999993e-89,100.0,155,320.5,100.0,100.0,2.9999999999999992e-89,100.0,155,320.5,100.0,100.0
WP_003664884.1,WP_003664884.1,3.4e-56,100.0,118,210.3,100.0,100.0,3.3e-56,100.0,118,210.3,100.0,100.0
WP_003664887.1,WP_003664887.1,1.1999999999999998e-76,100.0,137,278.5,100.0,100.0,1.1999999999999998e-76,100.0,137,278.5,100.0,100.0
WP_003664906.1,WP_003664906.1,5.999999999999999e-85,100.0,155,306.2,100.0,100.0,5.899999999999999e-85,100.0,155,306.2,100.0,100.0
WP_003664939.1,WP_003664939.1,1.1999999999999997e-88,100.0,155,318.5,100.0,100.0,1.0999999999999999e-88,100.0,155,318.5,100.0,100.0
WP_003664947.1,WP_003664947.1,1.6999999999999989e-279,100.0,478,954.1,100.0,100.0,1.6999999999999989e-279,100.0,478,954.1,100.0,100.0
WP_003664953.1,WP_003664953.1,1.6999999999999996e-84,100.0,154,304.7,100.0,100.0,1.6999999999999996e-84,100.0,154,304.7,100.0,100.0
WP_003664967.1,WP_003669246.1,8.099999999999999e-40,100.0,74,155.2,100.0,100.0,1.1e-39,100.0,74,154.8,100.0,91.4
WP_003665035.1,WP_003665035.1,4.299999999999999e-141,100.0,254,493.4,100.0,100.0,4.199999999999999e-141,100.0,254,493.4,100.0,100.0
WP_003665044.1,WP_003665044.1,1.1999999999999996e-135,100.0,251,475.3,100.0,100.0,1.1999999999999996e-135,100.0,251,475.3,100.0,100.0
WP_003665048.1,WP_003665048.1,1.0999999999999996e-172,100.0,305,598.6,100.0,100.0,1.0999999999999996e-172,100.0,305,598.6,100.0,100.0
WP_003665058.1,WP_003665058.1,1.4999999999999997e-45,100.0,87,174.5,100.0,100.0,1.4999999999999997e-45,100.0,87,174.5,100.0,100.0
WP_003665077.1,WP_003665077.1,1.4999999999999998e-28,100.0,61,117.5,100.0,100.0,1.4999999999999998e-28,100.0,61,117.5,100.0,100.0
WP_003665104.1,WP_003665104.1,8.2e-37,100.0,72,145.2,100.0,100.0,8e-37,100.0,72,145.2,100.0,100.0
WP_003665222.1,WP_003665222.1,3.099999999999999e-134,100.0,238,470.7,100.0,90.5,2.9999999999999995e-134,100.0,238,470.7,100.0,90.5
WP_003665230.1,WP_003665230.1,2e-38,100.0,73,150.6,100.0,100.0,1.9e-38,100.0,73,150.6,100.0,100.0
WP_003665235.1,WP_003665235.1,1.3999999999999998e-52,100.0,98,198.0,100.0,100.0,1.3999999999999998e-52,100.0,98,198.0,100.0,100.0
WP_003665240.1,WP_003665240.1,1.9e-39,100.0,78,154.1,100.0,100.0,1.9e-39,100.0,78,154.1,100.0,100.0
WP_003665243.1,WP_003665243.1,2.3999999999999995e-78,100.0,150,284.3,100.0,100.0,2.2999999999999997e-78,100.0,150,284.3,100.0,100.0
WP_003665258.1,WP_003669510.1,0.0,100.0,598,1137.9,100.0,96.3,0.0,100.0,598,1138.6,100.0,100.0
WP_003665279.1,WP_003665279.1,1.1999999999999996e-158,100.0,287,552.0,100.0,100.0,1.0999999999999998e-158,100.0,287,552.0,100.0,100.0
WP_003665289.1,WP_003665289.1,7.099999999999997e-267,100.0,460,912.1,100.0,100.0,6.899999999999995e-267,100.0,460,912.1,100.0,100.0
WP_003665350.1,WP_003665350.1,2.5999999999999997e-76,100.0,134,277.3,100.0,100.0,2.5e-76,100.0,134,277.3,100.0,100.0
WP_003665392.1,WP_003665392.1,1.2999999999999996e-134,100.0,236,471.9,100.0,100.0,1.1999999999999996e-134,100.0,236,471.9,100.0,100.0
WP_003665397.1,WP_003665397.1,4.499999999999999e-129,100.0,229,453.4,100.0,100.0,4.399999999999999e-129,100.0,229,453.4,100.0,100.0
WP_003665424.1,WP_003665424.1,1.6999999999999995e-87,100.0,161,314.7,100.0,100.0,1.6999999999999995e-87,100.0,161,314.7,100.0,100.0
WP_003665449.1,WP_003665449.1,1.1999999999999996e-134,100.0,228,471.9,100.0,100.0,1.1999999999999996e-134,100.0,228,471.9,100.0,100.0
WP_003665459.1,WP_003665459.1,1.3999999999999997e-42,100.0,77,164.5,100.0,100.0,1.3999999999999997e-42,100.0,77,164.5,100.0,100.0
WP_003665495.1,WP_003665495.1,2.2999999999999995e-83,100.0,142,300.8,100.0,100.0,2.2999999999999995e-83,100.0,142,300.8,100.0,100.0
WP_003665581.1,WP_003665581.1,2.0999999999999996e-41,100.0,80,160.6,100.0,100.0,2.0999999999999996e-41,100.0,80,160.6,100.0,100.0
WP_003665599.1,WP_003665599.1,5.4e-45,100.0,81,172.6,100.0,100.0,5.299999999999999e-45,100.0,81,172.6,100.0,100.0
WP_003665652.1,WP_003665652.1,1.4999999999999998e-70,100.0,164,258.5,100.0,100.0,1.4999999999999998e-70,100.0,164,258.5,100.0,100.0
WP_003665658.1,WP_003665658.1,0.0,100.0,663,1210.7,100.0,94.4,0.0,100.0,663,1210.7,100.0,94.4
WP_003665660.1,WP_003667267.1,5.499999999999998e-175,100.0,306,606.3,100.0,100.0,4.3999999999999983e-175,100.0,306,606.7,100.0,94.7
WP_003665662.1,WP_003665662.1,3.399999999999998e-194,100.0,333,670.2,100.0,100.0,3.2999999999999987e-194,100.0,333,670.2,100.0,100.0
WP_003665791.1,WP_003665791.1,1.3999999999999995e-142,100.0,261,498.4,100.0,100.0,1.3999999999999995e-142,100.0,261,498.4,100.0,100.0
WP_003665798.1,WP_003665798.1,5.2e-53,100.0,103,199.5,100.0,100.0,5.0999999999999995e-53,100.0,103,199.5,100.0,100.0
WP_003665800.1,WP_003665800.1,2.4e-62,100.0,119,230.7,100.0,100.0,2.4e-62,100.0,119,230.7,100.0,100.0
WP_003665811.1,WP_003665811.1,7.799999999999998e-203,100.0,383,699.1,100.0,100.0,7.699999999999997e-203,100.0,383,699.1,100.0,100.0
WP_003665815.1,WP_003668155.1,9.499999999999997e-178,100.0,319,615.5,100.0,100.0,7.299999999999998e-178,100.0,319,615.9,100.0,97.9
WP_003665847.1,WP_003665847.1,1.4e-27,100.0,63,114.4,100.0,100.0,1.2999999999999999e-27,100.0,63,114.4,100.0,100.0
WP_003665856.1,WP_003668130.1,2.2e-87,100.0,159,314.3,100.0,100.0,2.2e-87,100.0,159,314.3,100.0,99.4
WP_003665857.1,WP_003665857.1,2.3999999999999997e-66,100.0,131,244.2,100.0,100.0,2.2999999999999997e-66,100.0,131,244.2,100.0,100.0
WP_003665875.1,WP_003665875.1,2.499999999999999e-275,100.0,473,940.3,100.0,100.0,2.3999999999999986e-275,100.0,473,940.3,100.0,100.0
WP_003665877.1,WP_003665877.1,6.799999999999999e-170,100.0,297,589.3,100.0,100.0,6.599999999999997e-170,100.0,297,589.3,100.0,100.0
WP_003666049.1,WP_003666049.1,1.5999999999999995e-209,100.0,416,721.5,100.0,100.0,1.5999999999999995e-209,100.0,416,721.5,100.0,100.0
WP_003666051.1,WP_003668106.1,8.499999999999995e-254,99.8,437,868.6,100.0,100.0,6.3999999999999955e-254,99.8,437,869.0,100.0,99.3
WP_003666054.1,WP_003666054.1,3.8999999999999997e-44,100.0,91,169.9,100.0,100.0,3.7999999999999996e-44,100.0,91,169.9,100.0,100.0
WP_003666061.1,WP_003666061.1,5.9999999999999994e-96,100.0,162,342.8,100.0,100.0,5.9e-96,100.0,162,342.8,100.0,100.0
WP_003666062.1,WP_003666062.1,8.199999999999998e-117,100.0,214,412.5,100.0,100.0,7.999999999999999e-117,100.0,214,412.5,100.0,100.0
WP_003666074.1,WP_003666074.1,2.1999999999999992e-111,100.0,209,394.4,100.0,100.0,2.1999999999999992e-111,100.0,209,394.4,100.0,100.0
WP_003666092.1,WP_003666092.1,2.5e-29,100.0,63,120.2,100.0,100.0,2.4e-29,100.0,63,120.2,100.0,100.0
WP_003666104.1,WP_003666104.1,2.5999999999999996e-48,100.0,91,183.7,100.0,100.0,2.5999999999999996e-48,100.0,91,183.7,100.0,100.0
WP_003666143.1,WP_003667930.1,9.999999999999998e-149,100.0,265,518.8,100.0,100.0,6.599999999999999e-149,100.0,265,519.6,100.0,87.2
WP_003666154.1,WP_003666154.1,2.1999999999999994e-165,100.0,296,574.3,100.0,100.0,2.1999999999999994e-165,100.0,296,574.3,100.0,100.0
WP_003666167.1,WP_003666167.1,1.6999999999999996e-134,100.0,243,471.5,100.0,100.0,1.6999999999999996e-134,100.0,243,471.5,100.0,100.0
WP_003666169.1,WP_003667906.1,2.2e-70,100.0,139,257.7,100.0,100.0,1.6999999999999997e-70,100.0,139,258.1,100.0,95.9
WP_003666171.1,WP_003666171.1,4.0999999999999984e-128,100.0,246,450.3,100.0,100.0,3.9999999999999987e-128,100.0,246,450.3,100.0,100.0
WP_003666183.1,WP_003666183.1,2.8999999999999987e-218,100.0,375,750.4,100.0,100.0,2.799999999999998e-218,100.0,375,750.4,100.0,100.0
WP_003666208.1,WP_003666208.1,1.0999999999999998e-97,100.0,214,349.0,100.0,100.0,1.0999999999999998e-97,100.0,214,349.0,100.0,100.0
WP_003666221.1,WP_003666221.1,2.5e-43,100.0,88,167.2,100.0,100.0,2.3999999999999998e-43,100.0,88,167.2,100.0,100.0
WP_003666262.1,WP_003666262.1,1.6999999999999995e-131,100.0,233,461.5,100.0,100.0,1.5999999999999997e-131,100.0,233,461.5,100.0,100.0
WP_003666281.1,WP_003666281.1,2.2999999999999993e-130,100.0,227,457.6,100.0,100.0,2.2999999999999993e-130,100.0,227,457.6,100.0,100.0
WP_003666299.1,WP_003666299.1,1.0999999999999999e-74,100.0,141,271.9,100.0,100.0,1.0999999999999999e-74,100.0,141,271.9,100.0,100.0
WP_003666300.1,WP_003667348.1,3.599999999999999e-126,100.0,230,443.7,100.0,100.0,2.899999999999999e-126,100.0,230,444.1,100.0,90.9
WP_003666309.1,WP_003666309.1,2.5999999999999994e-86,100.0,166,310.8,100.0,100.0,2.5e-86,100.0,166,310.8,100.0,100.0
WP_003666310.1,WP_003666310.1,3.7e-58,100.0,121,216.9,100.0,100.0,3.600000000000001e-58,100.0,121,216.9,100.0,100.0
WP_003666324.1,WP_003666324.1,4e-39,100.0,73,152.9,100.0,100.0,3.9e-39,100.0,73,152.9,100.0,100.0
WP_003666329.1,WP_003667377.1,8.3e-51,100.0,102,192.2,100.0,100.0,3.8e-51,100.0,102,193.4,100.0,96.2
WP_003666336.1,WP_003666336.1,8.999999999999998e-56,100.0,107,208.8,100.0,100.0,8.8e-56,100.0,107,208.8,100.0,100.0
WP_003666351.1,WP_003666351.1,1.699999999999999e-198,100.0,331,684.5,100.0,100.0,1.699999999999999e-198,100.0,331,684.5,100.0,100.0
WP_003666368.1,WP_003666368.1,4.5999999999999995e-48,100.0,94,183.0,100.0,100.0,4.5e-48,100.0,94,183.0,100.0,100.0
WP_003666386.1,WP_003666386.1,0.0,100.0,787,1551.2,100.0,100.0,0.0,100.0,787,1551.2,100.0,100.0
WP_003666394.1,WP_003666394.1,6.999999999999997e-181,100.0,320,625.9,100.0,100.0,6.899999999999998e-181,100.0,320,625.9,100.0,100.0
WP_003666398.1,WP_003666398.1,1.2999999999999997e-173,100.0,304,601.7,100.0,100.0,1.2999999999999997e-173,100.0,304,601.7,100.0,100.0
WP_003666416.1,WP_003666416.1,2.6999999999999995e-120,100.0,212,424.1,100.0,100.0,2.5999999999999994e-120,100.0,212,424.1,100.0,100.0
WP_003666419.1,WP_003666419.1,2.0999999999999998e-50,100.0,90,190.7,100.0,100.0,2.0999999999999998e-50,100.0,90,190.7,100.0,100.0
WP_003666435.1,WP_003666435.1,2.3999999999999993e-107,100.0,197,380.9,100.0,100.0,2.3999999999999993e-107,100.0,197,380.9,100.0,100.0
WP_003666436.1,WP_003667471.1,1.2999999999999996e-193,100.0,335,668.3,100.0,100.0,1.6999999999999994e-193,100.0,335,667.9,100.0,97.1
WP_003666443.1,WP_003667476.1,4.999999999999998e-254,100.0,440,869.4,100.0,100.0,6.699999999999997e-254,100.0,440,869.0,100.0,96.3
WP_003666449.1,WP_003666449.1,1.6999999999999995e-87,100.0,157,314.7,100.0,100.0,1.6999999999999995e-87,100.0,157,314.7,100.0,100.0
WP_003666452.1,WP_003666452.1,4.499999999999999e-183,100.0,324,633.3,100.0,100.0,4.399999999999999e-183,100.0,324,633.3,100.0,100.0
WP_003666462.1,WP_003667494.1,5.899999999999999e-155,100.0,283,539.7,100.0,100.0,5.799999999999998e-155,100.0,283,539.7,100.0,98.6
WP_003666524.1,WP_003666524.1,4.2e-61,100.0,109,226.5,100.0,100.0,4.1e-61,100.0,109,226.5,100.0,100.0
WP_003666558.1,WP_003666558.1,1.0999999999999997e-127,100.0,235,448.7,100.0,100.0,1.0999999999999997e-127,100.0,235,448.7,100.0,100.0
WP_003666564.1,WP_003666564.1,1.3e-61,100.0,172,228.8,100.0,100.0,1.3e-61,100.0,172,228.8,100.0,100.0
WP_003666568.1,WP_003666568.1,4.699999999999998e-288,100.0,509,982.6,100.0,100.0,4.599999999999997e-288,100.0,509,982.6,100.0,100.0
WP_003666570.1,WP_003666570.1,7.899999999999996e-169,100.0,314,585.9,100.0,100.0,7.799999999999997e-169,100.0,314,585.9,100.0,100.0
WP_003666573.1,WP_003666573.1,1.6999999999999992e-271,100.0,475,927.5,100.0,100.0,1.599999999999999e-271,100.0,475,927.5,100.0,100.0
WP_003666575.1,WP_003666575.1,2.3999999999999996e-72,100.0,143,264.2,100.0,100.0,2.3999999999999996e-72,100.0,143,264.2,100.0,100.0
WP_003666578.1,WP_003666578.1,2.299999999999999e-182,100.0,330,630.9,100.0,100.0,2.1999999999999993e-182,100.0,330,630.9,100.0,100.0
WP_003666594.1,WP_003666594.1,5.699999999999999e-143,100.0,242,499.6,100.0,100.0,5.599999999999999e-143,100.0,242,499.6,100.0,100.0
WP_003666598.1,WP_003666598.1,2.3999999999999995e-104,100.0,189,370.9,100.0,100.0,2.3999999999999995e-104,100.0,189,370.9,100.0,100.0
WP_003666602.1,WP_003666602.1,5.099999999999999e-87,100.0,162,313.2,100.0,100.0,4.999999999999999e-87,100.0,162,313.2,100.0,100.0
WP_003666604.1,WP_003666604.1,5.2e-50,100.0,98,189.5,100.0,100.0,5.0999999999999995e-50,100.0,98,189.5,100.0,100.0
WP_003666612.1,WP_003666612.1,2.8999999999999988e-142,100.0,247,497.3,100.0,100.0,2.8999999999999988e-142,100.0,247,497.3,100.0,100.0
WP_003666632.1,WP_003666632.1,4.3999999999999995e-112,100.0,201,396.7,100.0,100.0,4.299999999999999e-112,100.0,201,396.7,100.0,100.0
WP_003666650.1,WP_003666650.1,9.199999999999996e-184,100.0,333,635.6,100.0,100.0,9.099999999999997e-184,100.0,333,635.6,100.0,100.0
WP_003666652.1,WP_003666652.1,9.999999999999997e-97,100.0,178,345.5,100.0,100.0,9.999999999999997e-97,100.0,178,345.5,100.0,100.0
WP_003666654.1,WP_003666654.1,2.899999999999999e-106,100.0,215,377.5,100.0,100.0,2.899999999999999e-106,100.0,215,377.5,100.0,100.0
WP_003666663.1,WP_003666663.1,9.999999999999998e-106,100.0,195,375.6,100.0,100.0,9.9e-106,100.0,195,375.6,100.0,100.0
WP_003666669.1,WP_003666669.1,2.9999999999999985e-213,100.0,517,734.2,100.0,100.0,2.8999999999999983e-213,100.0,517,734.2,100.0,100.0
WP_003666685.1,WP_003666685.1,4.8e-47,100.0,88,179.5,100.0,100.0,4.699999999999999e-47,100.0,88,179.5,100.0,100.0
WP_003666687.1,WP_003666687.1,4.199999999999999e-80,100.0,147,290.0,100.0,100.0,4.099999999999999e-80,100.0,147,290.0,100.0,100.0
WP_003666689.1,WP_003666689.1,7.2e-52,100.0,98,195.7,100.0,100.0,7e-52,100.0,98,195.7,100.0,100.0
